composition,score,var,std
U2 Co3 Si5,0.9261362847685812,0.013604530666859372,0.11663846135327476
In1 Ga1 S3,0.926134267449379,0.002391239752660991,0.04890030421849123
Tb1 In1 Ir1,0.9261340314149856,0.0062558903461704795,0.0790941865510385
K1 Mn1 F4,0.9261135774850844,0.0015674351992015162,0.03959084741706745
La13 Cd58,0.9261074310541152,0.002051737281164853,0.045296106688818775
Sr1 Cd1 Ge1,0.9261070376634598,0.005802139835520969,0.07617177847156366
Na2 Al3 P3 H2 O14,0.9260991531610488,0.00047408068489712126,0.021773393968261383
Nd1 Mo1 O4 F1,0.9260906547307968,0.0005453030080921463,0.02335172387838093
Na12 Mn3 S6 O24 F8,0.9260884296894072,0.0007070701226976995,0.02659079018565826
Ho14 Ge23,0.9260597783327102,0.0021207375088244805,0.046051465870528815
Ca1 Sn1 F6,0.9260558956861497,0.001286161105045472,0.03586308833669337
Pr2 Th1 S5,0.9260517448186876,0.0020505123028954396,0.04528258277633289
Re1 Cl1 O3,0.9260474073886872,0.001122802594253385,0.03350824666038772
Tl2 P1 O3,0.9260366326570508,0.0023666940978745205,0.04864868033024658
Bi3 Te2 Cl10,0.926035014986992,0.0016166847427792033,0.04020801838911243
Ba1 Fe2 As2,0.9260320004820825,0.011396057358440471,0.10675231781296586
Fe1 As1 S1,0.9260190725326538,0.004342785368801714,0.06589981311659172
Ce3 S3 O16,0.926017079949379,0.0007427522608978348,0.02725348162891917
Zr6 Ga16 Rh7,0.9260101997852326,0.002827418591727594,0.053173476393100286
Ca5 P3 Cl1 O12,0.9260036897659302,0.0009009501954648641,0.03001583241332588
Zr3 Cu4 Si6,0.9259961944818496,0.009567265274199387,0.09781239836646163
Eu7 Cl2 F12,0.9259912383556366,0.00771419275313285,0.08783047735913116
Ba1 Np1 H3 O6,0.9259830939769744,0.0011606769717749025,0.03406870957014519
B1 P3 Pb3 O12,0.9259827542304992,0.0008920158098751248,0.02986663372184961
Al1 P1 I8,0.9259798216819763,0.0022218206949387188,0.047136193046731285
Pr1 B1 Pt3,0.9259787476062776,0.0049095375768153406,0.07006809243025916
K2 Fe2 As2 O9,0.9259655368328096,0.0004225107202231288,0.02055506556114888
Y1 Ni3,0.925951412320137,0.002451557817094523,0.0495132085114116
Lu1 B1 Pt2,0.9259457916021347,0.005289823892667254,0.07273117552100512
Ni1 Pb2 N6 O12,0.9259430521726608,0.000979432305240884,0.03129588319956611
Lu4 Ga12 Pd1,0.9259351480007172,0.002982123388760271,0.054608821528762834
Na1 Sn5,0.9259319055080414,0.005022479554203739,0.07086945431004629
Rb1 Zn1 B1 P2 O8,0.92593111038208,0.00035216095723293416,0.01876595207371409
Ba1 Zn5,0.9259202152490617,0.00373736871003163,0.06113402252454545
U1 Mo2 O11,0.9259156960248948,0.0010806148336268008,0.03287270651508331
Na1 Nd1 S2 O8,0.9259134888648988,0.0005962439009284278,0.024418106006167384
Ga1 I2,0.9258927756547928,0.0029634066563425498,0.054437180826550434
Ga3 Pt2,0.9258899462223052,0.006638895334720289,0.08147941663217949
K1 Na1 Li2 S2 O8,0.9258870524168016,0.0005943586742079004,0.024379472393960874
Hf1 Al1 Ni2,0.9258831799030304,0.004573556200696096,0.06762807257859782
Sc5 Cl8,0.9258830612897871,0.002545208070204191,0.05045005520516493
Cu1 Te2 O5,0.925879065990448,0.0013329990023444572,0.03651025886438573
Ba4 In1 Ag1 S6,0.9258748799562454,0.003763911694643296,0.06135072692840155
Pt1 N4 Cl2 O1,0.9258743923902512,0.001333528813405284,0.036517513790033464
P2 Pb2 O7,0.9258728849887848,0.0009114097129289276,0.030189562980091775
K4 Sn23,0.9258723908662796,0.004700513248950536,0.06856028915451375
Sr1 Ga2 H2,0.9258664339780808,0.0043778153903673,0.06616506170455295
Fe1 B2,0.9258652639389038,0.004693827388224925,0.06851151281518256
V1 Cl1 O1,0.9258583784103394,0.0021976567552372465,0.04687917187021595
Ba2 Re6 S11,0.9258506309986114,0.008907458607884916,0.09437933358466204
Ga2 Hg3 Cl8,0.9258430725336076,0.003217905935939123,0.05672658932052167
In1 As1 H2 O5,0.9258360183238984,0.0007667782065276911,0.027690760309671728
K2 Li1 B1 O3,0.9258340257406236,0.001438336116019362,0.03792540198889608
Rb2 Cd1 O2,0.9258110797405243,0.0025747189845047856,0.05074168882196163
Ge1 P1,0.9257796943187714,0.006075891480722752,0.07794800498231337
Dy1 Zn20 Rh2,0.9257788234949113,0.0017891324564507946,0.04229813774211336
K1 Si2 B1 O6,0.9257750970125198,0.0005535289264503167,0.02352719546504251
Y2 Te5 O13,0.9257727909088136,0.0013618826566383071,0.0369036943494592
C1,0.9257704395055772,0.004112702933321491,0.06413035890529142
Tm2 Mn3 Si5,0.9257602328062058,0.0049572582171752005,0.0704077994058556
